"team","squad_players","u21_players","total_players"
"Arsenal","21","47","68"
"Aston Villa","23","67","90"
"Bournemouth","21","50","71"
"Brentford","22","59","81"
"Brighton","22","66","88"
"Burnley","25","51","76"
"Chelsea","17","67","84"
"Crystal Palace","23","56","79"
"Everton","22","50","72"
"Fulham","23","49","72"
"Leeds","24","45","69"
"Liverpool","25","56","81"
"Manchester City","21","61","82"
"Manchester United","20","59","79"
"Newcastle","23","59","82"
"Nottingham Forest","25","55","80"
"Sunderland","21","54","75"
"Tottenham","24","67","91"
"West Ham","18","52","70"
"Wolverhampton","23","47","70"
